address_new,quarters_count,geometry
"1-й микрорайон 9, Москва, Россия, 142784",144,POINT (37.35175 55.60411)
"1-й микрорайон 14, Москва, Россия, 142784",1,POINT (37.34949 55.60418)
"2-я Вольская улица 42, Москва, Россия, 111674",476,POINT (37.94016 55.69287)
"улица 10-летия Октября 2 стр 6, Москва, Россия, 119048",1,POINT (37.5608 55.72547)
"улица 10-летия Октября 9, Москва, Россия, 119048",35,POINT (37.563 55.72549)
"улица 1812-го года 1, Москва, Россия, 121170",249,POINT (37.52404 55.73523)
"улица 1812-го года 2, Москва, Россия, 121170",325,POINT (37.52524 55.73596)
"улица 1812-го года 3, Москва, Россия, 121170",119,POINT (37.52346 55.73613)
"улица 1812-го года 4/45 корп 2, Москва, Россия, 121170",108,POINT (37.52614 55.73658)
"улица 1812-го года 7, Москва, Россия, 121170",72,POINT (37.52174 55.73823)
"улица 1812-го года 8 корп 1, Москва, Россия, 121170",104,POINT (37.52157 55.74036)
"улица 1812-го года 8 корп 2, Москва, Россия, 121170",144,POINT (37.52321 55.74063)
"улица 1812-го года 9, Москва, Россия, 121170",91,POINT (37.52118 55.73898)
"улица 1812-го года 10 корп 1, Москва, Россия, 121170",89,POINT (37.52111 55.74119)
"улица 1812-го года 10 корп 2, Москва, Россия, 121170",144,POINT (37.52208 55.7414)
"улица 1812-го года 12, Москва, Россия, 121170",171,POINT (37.52036 55.74174)
"улица 1905-го года 1, Москва, Россия, 123100",101,POINT (37.558 55.75759)
"улица 1905-го года 3, Москва, Россия, 123100",97,POINT (37.55786 55.75829)
"улица 1905-го года 4, Москва, Россия, 123022",134,POINT (37.56144 55.76537)
"улица 1905-го года 5, Москва, Россия, 123100",230,POINT (37.55797 55.76015)
"улица 1905-го года 9 стр 1, Москва, Россия, 123022",67,POINT (37.56018 55.76398)
"улица 1905-го года 9 стр 2, Москва, Россия, 123022",73,POINT (37.56023 55.76433)
"улица 1905-го года 11 стр 1, Москва, Россия, 123022",74,POINT (37.5605 55.76486)
"улица 1905-го года 15, Москва, Россия, 123022",174,POINT (37.56002 55.76544)
"улица 1905-го года 16, Москва, Россия, 123022",71,POINT (37.55641 55.77115)
"улица 1905-го года 17, Москва, Россия, 123022",174,POINT (37.55942 55.76604)
"улица 1905-го года 19, Москва, Россия, 123022",178,POINT (37.55878 55.76667)
"улица 1905-го года 21, Москва, Россия, 123022",178,POINT (37.55815 55.76723)
"улица 1905-го года 23, Москва, Россия, 123022",164,POINT (37.55735 55.76802)
"улица 1905-го года 25, Москва, Россия, 123022",85,POINT (37.55646 55.76825)
"1-й Ходынский проезд, Москва, Россия, 125252",1,POINT (37.53551 55.78472)
"аллея 1-й Маёвки 11 корп 1, Москва, Россия, 111395",36,POINT (37.79594 55.72507)
"аллея 1-й Маёвки 11 корп 2, Москва, Россия, 111395",36,POINT (37.7965 55.72552)
"аллея 1-й Маёвки 13 корп 1, Москва, Россия, 111395",27,POINT (37.79684 55.72479)
"аллея 1-й Маёвки 13 корп 2, Москва, Россия, 111395",36,POINT (37.79733 55.72523)
"улица 26-ти Бакинских Комиссаров 1 корп 1, Москва, Россия, 119571",147,POINT (37.49176 55.65606)
"улица 26-ти Бакинских Комиссаров 1 корп 2, Москва, Россия, 119571",147,POINT (37.49076 55.65555)
"улица 26-ти Бакинских Комиссаров 1 корп 3, Москва, Россия, 119571",152,POINT (37.48949 55.65495)
"улица 26-ти Бакинских Комиссаров 2 корп 1, Москва, Россия, 119571",143,POINT (37.49452 55.65724)
"улица 26-ти Бакинских Комиссаров 2 корп 2, Москва, Россия, 119526",146,POINT (37.49532 55.65798)
"улица 26-ти Бакинских Комиссаров 3 корп 1, Москва, Россия, 119571",479,POINT (37.48983 55.6574)
"улица 26-ти Бакинских Комиссаров 3 корп 3, Москва, Россия, 119571",335,POINT (37.48782 55.65544)
"улица 26-ти Бакинских Комиссаров 3 корп 3, Москва, Россия, 119571",237,POINT (37.48782 55.65544)
"улица 26-ти Бакинских Комиссаров 4 корп 1, Москва, Россия, 119526",95,POINT (37.49294 55.65753)
"улица 26-ти Бакинских Комиссаров 4 корп 3, Москва, Россия, 119526",258,POINT (37.49421 55.65881)
"улица 26-ти Бакинских Комиссаров 4 корп 4, Москва, Россия, 119526",111,POINT (37.49474 55.65995)
"улица 26-ти Бакинских Комиссаров 6, Москва, Россия, 119526",114,POINT (37.49311 55.65881)
"улица 26-ти Бакинских Комиссаров 6 корп 1, Москва, Россия, 119526",146,POINT (37.49169 55.65853)
"улица 26-ти Бакинских Комиссаров 6 корп 2, Москва, Россия, 119526",147,POINT (37.4925 55.65929)
"улица 26-ти Бакинских Комиссаров 7 корп 1, Москва, Россия, 119571",108,POINT (37.48586 55.65957)
"улица 26-ти Бакинских Комиссаров 7 корп 2, Москва, Россия, 119571",112,POINT (37.48572 55.65879)
"улица 26-ти Бакинских Комиссаров 7 корп 3, Москва, Россия, 119571",111,POINT (37.4854 55.65815)
"улица 26-ти Бакинских Комиссаров 7 корп 4, Москва, Россия, 119571",104,POINT (37.4853 55.6574)
"улица 26-ти Бакинских Комиссаров 7 корп 5, Москва, Россия, 119571",111,POINT (37.48499 55.6567)
"улица 26-ти Бакинских Комиссаров 7 корп 6, Москва, Россия, 119571",169,POINT (37.48464 55.65529)
"улица 26-ти Бакинских Комиссаров 8 корп 1, Москва, Россия, 119526",98,POINT (37.49015 55.65883)
"улица 26-ти Бакинских Комиссаров 8 корп 3, Москва, Россия, 119526",256,POINT (37.4914 55.6601)
"улица 26-ти Бакинских Комиссаров 8 корп 4, Москва, Россия, 119526",108,POINT (37.49193 55.66127)
"улица 26-ти Бакинских Комиссаров 8 корп 5, Москва, Россия, 119526",79,POINT (37.49298 55.66072)
"улица 26-ти Бакинских Комиссаров 8 корп 6, Москва, Россия, 119526",80,POINT (37.49352 55.66122)
"улица 26-ти Бакинских Комиссаров 8 корп 7, Москва, Россия, 119526",79,POINT (37.49413 55.66076)
"улица 26-ти Бакинских Комиссаров 9, Москва, Россия, 119571",151,POINT (37.48564 55.66035)
"улица 26-ти Бакинских Комиссаров 10, Москва, Россия, 119526",114,POINT (37.49032 55.66008)
"улица 26-ти Бакинских Комиссаров 10 корп 1, Москва, Россия, 119526",145,POINT (37.48889 55.65981)
"улица 26-ти Бакинских Комиссаров 10 корп 2, Москва, Россия, 119526",143,POINT (37.48972 55.66057)
"улица 26-ти Бакинских Комиссаров 10 корп 2, Москва, Россия, 119526",1,POINT (37.48972 55.66057)
"улица 26-ти Бакинских Комиссаров 10 корп 6, Москва, Россия, 119526",99,POINT (37.49258 55.66194)
"улица 26-ти Бакинских Комиссаров 12 корп 1, Москва, Россия, 119526",95,POINT (37.48719 55.66077)
"улица 26-ти Бакинских Комиссаров 12 корп 3, Москва, Россия, 119526",251,POINT (37.48859 55.6614)
"улица 26-ти Бакинских Комиссаров 12 корп 4, Москва, Россия, 119526",98,POINT (37.48949 55.6624)
"улица 26-ти Бакинских Комиссаров 12 корп 5, Москва, Россия, 119526",98,POINT (37.48992 55.66191)
"улица 26-ти Бакинских Комиссаров 12 корп 6, Москва, Россия, 119526",136,POINT (37.48886 55.6627)
