Name,Address,Площадь,Оборот,geometry
Магазин «Сантехника и электрика»,"город Москва, поселение Новофедоровское, деревня Яковлевское, Торговая площадь, дом 1, строение 4",2236,67505601,POINT (36.940925 55.4630606734683)
Электроинструменты 220 Вольт,"город Москва, проспект Вернадского, дом 11/19",8,168371156,POINT (37.5291132753113 55.6888356171121)
Чип и Дип,"город Москва, Волгоградский проспект, дом 9, строение 1",94,47222651,POINT (37.6746257768694 55.7306546204175)
Аэроком СК,"город Москва, Запорожская улица, дом 5",1319,62645336,POINT (37.4028472631068 55.7225968341865)
НАСОСЫ,"город Москва, улица Коминтерна, дом 11/7",2018,142430898,POINT (37.6791463441749 55.864489956433204)
Бэнг энд Олуфсен,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Ленинский проспект, дом 12",650,67953024,POINT (37.5971602022382 55.7196250953607)
IROBOT,"город Москва, Ленинский проспект, дом 43",2484,160527857,POINT (37.5756114476826 55.7044854446725)
М.видео,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 91, корпус 1",1528,100661405,POINT (37.6353842785593 55.8053187805137)
МТС,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 103",2407,87959987,POINT (37.6371799021642 55.8131332751888)
Свет,"город Москва, проспект Мира, дом 135",65,121066237,POINT (37.6527319504303 55.8334579368935)
Miele,"город Москва, Можайское шоссе, дом 4, корпус 1",2090,49836812,POINT (37.4438609999999 55.7231469999999)
Хозяйственные товары,"город Москва, улица Комдива Орлова, дом 6",2435,102079595,POINT (37.58207 55.8419049999999)
МУЗЫКАЛЬНЫЕ ТОВАРЫ,"город Москва, улица Расплетина, дом 2",1177,101927789,POINT (37.4801163970148 55.788944479685)
М.видео,"город Москва, Славянский бульвар, дом 13, корпус 1",1266,63149406,POINT (37.4638083694331 55.7255560258671)
Холодильники Liebherr,"город Москва, Смоленский бульвар, дом 1/2",2243,624423,POINT (37.5848195045792 55.7389292927733)
Пластинки РЕКОРД,"город Москва, улица Строителей, дом 11, корпус 1",1533,58486070,POINT (37.533316458399 55.6870093718401)
Холодильники Liebherr,"город Москва, улица Сущёвский Вал, дом 62",703,87370600,POINT (37.6251844997296 55.7922822966717)
"Магазин «Bosh, Siemens»","город Москва, улица Талалихина, дом 39",1869,13182685,POINT (37.6807285557643 55.7285274883241)
Свет 59. Электротовары,"город Москва, Ташкентская улица, дом 12/20",1,114787926,POINT (37.8163112378181 55.7047203581836)
Электроника,"город Москва, улица Толбухина, дом 9, корпус 1",2010,16588553,POINT (37.400752999 55.7212249999999)
Электромонтаж,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Малая Тульская улица, дом 22",351,143872905,POINT (37.617182 55.7067637431487)
Ноу-Хау,"город Москва, Фестивальная улица, дом 13, корпус 1",2427,105806074,POINT (37.4770351055822 55.8557123163626)
Галерея электроники,"город Москва, улица Большая Ордынка, дом 13/9, строение 1",60,31122879,POINT (37.6251837258969 55.7436009763128)
М.видео,"город Москва, Люблинская улица, дом 169",922,125768022,POINT (37.7465562962074 55.6488745626532)
Комларк,"город Москва, улица Перерва, дом 49",711,17987790,POINT (37.7499211420663 55.6606189116367)
ДРИМ ДЕПО,"город Москва, Новосущёвская улица, дом 15",267,87942540,POINT (37.6035244790804 55.7907606098576)
Магазин «Электрика»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, Святоозерская улица, дом 14",1707,46640633,POINT (37.8867593124709 55.7133128864074)
Игровые приставки,"город Москва, Костромская улица, дом 17",2364,25761628,POINT (37.6005968070569 55.8851425372886)
Эльдорадо,"город Москва, Дмитровское шоссе, дом 163А, корпус 1",2485,61602713,POINT (37.5354641759017 55.9120381092884)
Мегафон,"город Москва, Дмитровское шоссе, дом 163А, корпус 1",1105,178202082,POINT (37.5392234000904 55.9089297337098)
Магазин «PROFLINE»,"город Москва, город Троицк, Городская улица, владение 6",2444,67626035,POINT (37.321188 55.4926726818533)
