StationName,RouteNumbers,geometry
Дербеневская наб.,А632; А13,POINT (37.6551636 55.72566817)
Набережная Тараса Шевченко,А205; А622,POINT (37.57240854 55.74944352)
ВКНЦ,А816; А660; А798,POINT (37.37550932 55.7572642)
Новосущевская ул.,А126; А84; АТ18; АТ42,POINT (37.60337594 55.79289095)
Керамический пр.,А799; А179; А677; А167; А677К; А499,POINT (37.55724554 55.89460802)
Ин-т Стали,А799; А179; А677; А167; А677К; А499,POINT (37.55729147 55.89142924)
Мкр. Дубки,А799; А179; А677; А167; А677К; А499,POINT (37.55730686 55.88768746)
Д/к Юность,А799; А179; А677; А167; А677К; А499,POINT (37.5573643949 55.8833589241)
Баскетбольная школа,А799; А179; А748; А857; А149; А167; А499,POINT (37.55636146 55.88011364)
Ул. 800-летия Москвы,А179; А563; А63; А763; АТ36; АТ78,POINT (37.54599654 55.87767168)
Бескудниково,А179; А563; А63; А763; АТ36; АТ78,POINT (37.54704248 55.87458982)
Парк Святослава Федорова,А179; А563; А763; АТ78; А591; А194; А215; АТ36; АТ56,POINT (37.5484894912 55.8633348164)
Ильменский пр.,А179; А563; А763; АТ78; А591; А194; А215; АТ36; АТ56,POINT (37.55318989 55.86077256)
Метро Верхние Лихоборы - Северный вестибюль,А179; А563; А763; АТ78; А591; А194; А215; АТ36; АТ56,POINT (37.5582614716 55.8582121735)
Метро Петровско-Разумовская,А114; А282; А204; А300; АТ19,POINT (37.57585651 55.83716907)
Михалковская ул.,А179; А114; А282; А204; А300; А591; А323; АТ19; АТ57,POINT (37.53956854 55.8371443498)
Стадион Наука,А179; А114; А282; А204; А591; А323; АТ19; АТ57,POINT (37.5328525 55.83295208)
Управа района Коптево,А179; А282; А204; А780; А591,POINT (37.52242762 55.82411549)
Районный центр Рассвет,А179; А282; А204; А780; А591,POINT (37.51887274 55.82307265)
3-й Новоподмосковный пер.,А179; А282; А204; А780; А591; АО27,POINT (37.51071983 55.82087948)
