NameOfStation,Line,IncomingPassengers,geometry
Пятницкое шоссе,Арбатско-Покровская линия,1443335,POINT (37.354253 55.8546831)
Митино,Арбатско-Покровская линия,2005840,POINT (37.363824 55.845533)
Волоколамская,Арбатско-Покровская линия,1383379,POINT (37.381439 55.836391)
Мякинино,Арбатско-Покровская линия,1467960,POINT (37.385197 55.82354)
Строгино,Арбатско-Покровская линия,2332920,POINT (37.401437 55.803709)
Крылатское,Арбатско-Покровская линия,2039831,POINT (37.407313 55.757872)
Молодёжная,Арбатско-Покровская линия,3666016,POINT (37.415869 55.741246)
Славянский бульвар,Арбатско-Покровская линия,4464362,POINT (37.468856 55.728974)
Киевская,Арбатско-Покровская линия,3423797,POINT (37.564427 55.742922)
Киевская,Кольцевая линия,2878326,POINT (37.564427 55.742922)
Киевская,Филёвская линия,0,POINT (37.564427 55.742922)
Площадь Революции,Арбатско-Покровская линия,2829766,POINT (37.623306 55.756397)
Бауманская,Арбатско-Покровская линия,4200671,POINT (37.678778 55.772359)
Электрозаводская,Арбатско-Покровская линия,2699090,POINT (37.705514 55.782136)
Электрозаводская,Некрасовская линия,666061,POINT (37.705514 55.782136)
Партизанская,Арбатско-Покровская линия,1399544,POINT (37.7496596 55.7884901)
Измайловская,Арбатско-Покровская линия,1464235,POINT (37.7798923 55.7877899)
Первомайская,Арбатско-Покровская линия,2780183,POINT (37.799006 55.795712)
Щёлковская,Арбатско-Покровская линия,5994304,POINT (37.799173 55.809924)
ЦСКА,Большая кольцевая линия,2610162,POINT (37.532015 55.785736)
Хорошёвская,Большая кольцевая линия,738841,POINT (37.517028 55.777371)
Народное Ополчение,Большая кольцевая линия,1284090,POINT (37.48359685 55.77535736)
Мнёвники,Большая кольцевая линия,77917,POINT (37.47138012 55.76026171)
Авиамоторная,Некрасовская линия,532418,POINT (37.7164033 55.7515696)
Авиамоторная,Калининская линия,3184038,POINT (37.7164033 55.7515696)
Терехово,Большая кольцевая линия,147336,POINT (37.45957887 55.74744372)
Кунцевская,Большая кольцевая линия,750405,POINT (37.445477 55.730675)
Кунцевская,Арбатско-Покровская линия,966173,POINT (37.445477 55.730675)
Кунцевская,Филёвская линия,543507,POINT (37.445477 55.730675)
Давыдково,Большая кольцевая линия,614179,POINT (37.4519732 55.71465451)
Аминьевская,Большая кольцевая линия,707904,POINT (37.46504374 55.6967887)
Проспект Вернадского,Большая кольцевая линия,345147,POINT (37.5071875 55.6778375)
Проспект Вернадского,Сокольническая линия,2062912,POINT (37.5071875 55.6778375)
Новаторская,Большая кольцевая линия,802620,POINT (37.52407575 55.66906208)
Воронцовская,Большая кольцевая линия,520067,POINT (37.5408222 55.65794575)
Зюзино,Большая кольцевая линия,1081014,POINT (37.57580691 55.6551755)
Каховская,Большая кольцевая линия,905486,POINT (37.60021369 55.65344116)
Битцевский парк,Бутовская линия Лёгкого метро,230489,POINT (37.556297 55.6004415)
Лесопарковая,Бутовская линия Лёгкого метро,496156,POINT (37.5778946 55.5816216)
Улица Скобелевская,Бутовская линия Лёгкого метро,1456965,POINT (37.5533041 55.5477054)
Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,809825,POINT (37.5416454 55.5450107)
Улица Горчакова,Бутовская линия Лёгкого метро,755374,POINT (37.5319534 55.5420806)
Бунинская аллея,Бутовская линия Лёгкого метро,1615947,POINT (37.5149399 55.5376805)
Ховрино,Замоскворецкая линия,3397467,POINT (37.482345 55.877286)
Беломорская,Замоскворецкая линия,2301022,POINT (37.475089 55.865217)
Речной вокзал,Замоскворецкая линия,2117601,POINT (37.476757 55.854286)
Водный стадион,Замоскворецкая линия,3136970,POINT (37.487262 55.839091)
Войковская,Замоскворецкая линия,3702205,POINT (37.4966084 55.8198862)
Сокол,Замоскворецкая линия,2693169,POINT (37.514425 55.804503)
Аэропорт,Замоскворецкая линия,2695551,POINT (37.53066 55.8004)
Динамо,Замоскворецкая линия,2099030,POINT (37.556447 55.790523)
Белорусская,Замоскворецкая линия,1950535,POINT (37.5826448 55.7753945)
Белорусская,Кольцевая линия,3601860,POINT (37.5826448 55.7753945)
Маяковская,Замоскворецкая линия,2655075,POINT (37.594548 55.771143)
Новокузнецкая,Замоскворецкая линия,2307903,POINT (37.629602 55.742303)
Павелецкая,Замоскворецкая линия,2715795,POINT (37.6362414 55.7313438)
Павелецкая,Кольцевая линия,3324283,POINT (37.6362414 55.7313438)
Автозаводская,Замоскворецкая линия,2903282,POINT (37.6573197 55.7064354)
Автозаводская,Московское центральное кольцо,443010,POINT (37.6573197 55.7064354)
Технопарк,Замоскворецкая линия,1361802,POINT (37.664749 55.692807)
Коломенская,Замоскворецкая линия,3784757,POINT (37.6627956 55.676834)
Каширская,Замоскворецкая линия,2025613,POINT (37.6477302 55.654154)
Кантемировская,Замоскворецкая линия,2918596,POINT (37.65712 55.634606)
Царицыно,Замоскворецкая линия,4735342,POINT (37.6682219 55.6222568)
Орехово,Замоскворецкая линия,1485078,POINT (37.6935179 55.6138351)
Домодедовская,Замоскворецкая линия,4920664,POINT (37.716543 55.610926)
Красногвардейская,Замоскворецкая линия,1397121,POINT (37.746215 55.6142123)
Алма-Атинская,Замоскворецкая линия,1091524,POINT (37.7650605 55.6334736)
Новокосино,Калининская линия,4651689,POINT (37.8655979 55.7461213)
Новогиреево,Калининская линия,5372096,POINT (37.8145804 55.7522622)
Перово,Калининская линия,3212624,POINT (37.784385 55.751195)
Шоссе Энтузиастов,Калининская линия,1654193,POINT (37.751998 55.757578)
Шоссе Энтузиастов,Московское центральное кольцо,595744,POINT (37.751998 55.757578)
Площадь Ильича,Калининская линия,1470250,POINT (37.6807937 55.747275)
Марксистская,Калининская линия,1822277,POINT (37.656456 55.74062)
Медведково,Калужско-Рижская линия,4016537,POINT (37.661274 55.886025)
Бабушкинская,Калужско-Рижская линия,3758778,POINT (37.663208 55.868448)
Свиблово,Калужско-Рижская линия,1879747,POINT (37.6514459 55.8543991)
Ботанический сад,Калужско-Рижская линия,1236186,POINT (37.638487 55.8459341)
Ботанический сад,Московское центральное кольцо,825588,POINT (37.638487 55.8459341)
ВДНХ,Калужско-Рижская линия,5100244,POINT (37.6413856 55.8224642)
Алексеевская,Калужско-Рижская линия,2565640,POINT (37.6385402 55.8079292)
Сухаревская,Калужско-Рижская линия,1569231,POINT (37.632071 55.772245)
Тургеневская,Калужско-Рижская линия,1451280,POINT (37.6366194 55.7654719)
